"PARENT","WSM_CATNAME","LONG_DESC","EXTENDED DESCRIPTION","EXISTING ID","CAT_IMAGE","METADESCRIPTION","KEYWORDS","META TITLE","PRIORITY","CATEGORYPATH","ADDED","HIDDEN"
"FASS® Products - GM Duramax LMM","FASS Filters & Accessories - GM Duramax LMM","FASS fuel filters and water seperators for 2007 - 2010 Chevy GMC 6.6L Duramax LMM
<p align=""left"">FASS accessories such as diesel fuel filters, waters separators,
pick-up tubes, wiring kits, mounting kits and much more are all here. If you
need help choosing the correct filter or water separator for your FASS fuel
system call 1-800-823-4444 or email <a href=""mailto:info@usdieselparts.com"">info@usdieselparts.com</a></p>","","778509","https://usdieselparts.com/images/F144548580","FASS fuel filters and water seperators for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","fass, fuel, filters, filter, water separator, water separators, Duramax, LMM","FASS fuel filters water seperators Duramax LMM","499","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Fuel System Components - GM Duramax LMM>FASS® Products - GM Duramax LMM>FASS Filters & Accessories - GM Duramax LMM","2013-05-31 17:37:27",""
"FASS® Products - GM Duramax LMM","FASS Titanium Series - GM Duramax LMM","FASS Titanium Series performance lift pump for 2007 - 2010 Chevy GMC 6.6L Duramax LMM
<p align=""left"">The FASS Titanium Series (formerly called the 95-series) is the most effective and widely used Fuel Air Separation System of its kind for light duty trucks. Each Titanium system consists of a high performance fuel supply pump, a 30k mile fuel filter and water separator. The fuel pressure and volume is far superior than the OEM fuel pump and helps protect your fuel system from potential damage, provides easier starting, smoother acceleration and a snappier throttle response. The separation of air vapor increases power and fuel economy.</p>
<div align=""left"">
<ul>
<li>Increase Performance and Fuel Economy</li>
<li>Protects Fuel Injection System</li>
<li>12-1/8&quot; height works well with light duty trucks</li>
<li>Easy Installation</li>
<li><b>Lifetime Warranty</b></li>
</ul>
<p><b>Stock</b> - For stock vehicles only. No aftermarket performance upgrades.<br />
<b>Moderate</b> - Some performance upgrades such as a programmer. Engine output not exceeding 500hp.<br />
<b>Extreme</b> - Extensive performance upgrades. Engine output of 500hp or more.<br />
<b>Super Extreme</b> - Off-road, race or competition vehicles.</p>
</div>","","778511","https://usdieselparts.com/images/F119352275","FASS Titanium Series performance lift pump for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","FASS, Titanium, Chevy, GMC, 6.6L, Duramax, LMM","FASS Titanium Duramax LMM","501","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Fuel System Components - GM Duramax LMM>FASS® Products - GM Duramax LMM>FASS Titanium Series - GM Duramax LMM","2013-05-31 17:37:27",""
"2007 - 2010 6.6L Duramax LMM","Fuel & Oil Filters - GM Duramax LMM","Fuel, Oil & Transmission Filters for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","","778512","https://usdieselparts.com/images/F95100616","Fuel, Oil & Transmission Filters for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","Fuel, Oil, Transmission, Filters, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM","Fuel Oil Transmission Filters Duramax LMM","450","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Fuel & Oil Filters - GM Duramax LMM","2013-05-31 17:37:28",""
"2007 - 2010 6.6L Duramax LMM","Gauges & Gauge Holders - GM Duramax LMM","Auto Meter and ISSPRO Gauges, Gauge Holders and Gauge related accessories for 2007 - 2010 Chevy GMC Duramax LMM  -  A great gauge display can not only be functional but the perfect way to customize your diesel truck.  Keep your diesels feedback readable at a glance and do so with style that fits your tastes.","","778513","https://usdieselparts.com/images/F142656760","Auto Meter and Isspro gauges and gauge holders for 2007 - 2010 Chevy GMC Duramax LMM","AutoMeter, Isspro, gauges, gauge holders, gauge, holder, Chevy, Duramax, GMC, 2007, 2008, 2009, 2010","Gauges Gauge Holders Chevy Duramax","390","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Gauges & Gauge Holders - GM Duramax LMM","2013-05-31 17:37:28",""
"Gauges & Gauge Holders - GM Duramax LMM","Gauge Accessories - GM Duramax LMM","Gauge Accessories for 2007 - 2010 Chevy GMC 6.6L Duramax LMM -  products such as sending units, gauge wiring/tubing, bezels etc...","","778514","https://usdieselparts.com/images/F102448383","Gauge Accessories for 2007 - 2010 Chevy GMC 6.6L Duramax LMM.","Gauge, Accessories, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM","Gauge Accessories Duramax LMM","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Gauges & Gauge Holders - GM Duramax LMM>Gauge Accessories - GM Duramax LMM","2013-05-31 17:37:28",""
"Gauges & Gauge Holders - GM Duramax LMM","Gauge Holders - GM Duramax LMM","Guage Holders for 2007 - 2010 Chevy GMC Duramax LMM","","778515","https://usdieselparts.com/images/F102448384","Guage Holders for 2007 - 2010 Chevy GMC Duramax LMM","Guage, Holders, Chevy, GMC, Duramax, LMM, pillar, mount, 2007, 2008, 2009, 2010","Guage Holders Duramax LMM","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Gauges & Gauge Holders - GM Duramax LMM>Gauge Holders - GM Duramax LMM","2013-05-31 17:37:28",""
"Gauges & Gauge Holders - GM Duramax LMM","Gauges - GM Duramax LMM","Autometer and ISSPRO gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM - Gauges are a great way to personalize any vehicle and what better way then to use proven-precision products from either Auto Meter or Isspro.","","778516","https://usdieselparts.com/images/F142927409","Autometer and ISSPRO gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM - Gauges are a great way to personalize any vehicle and what better way then to use proven-precision products from either Auto Meter or Isspro.","gauges, guage, Autometer, ISSPRO, Chevy, GMC, Duramax, LMM, 2007, 2008, 2009, 2010","Gauges Duramax LMM","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Gauges & Gauge Holders - GM Duramax LMM>Gauges - GM Duramax LMM","2013-05-31 17:37:29",""
"Gauges - GM Duramax LMM","Auto Meter - GM Duramax LMM","Autometer Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks - Auto Meter has been revolutionizing the way automotive and diesel enthusiasts view instrumentation and vehicle electronics since 1957. They have set the standard for accuracy, precision, and durability.","","778517","https://usdieselparts.com/images/F102448386","Autometer Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks - Auto Meter has been revolutionizing the way automotive and diesel enthusiasts view instrumentation and vehicle electronics since 1957. They have set the standard for accuracy, precision, and durability.","autometer, gauges, gauge, chevy, gmc, duramax, phantom, Z, ultra lite, LMM, 2007, 2008, 2009, 2010","Autometer Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Gauges & Gauge Holders - GM Duramax LMM>Gauges - GM Duramax LMM>Auto Meter - GM Duramax LMM","2013-05-31 17:37:29",""
"Auto Meter - GM Duramax LMM","Ultra-Lite II Series - GM Duramax LMM","
<img src=""http://usdieselparts.com/files/products/AUT/ultra_lite_ii.png"" alt=""Autometer Ultra Lite II Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks"">
<p>Autometer Ultra Lite II Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks - Features race proven Ultra-Lite movements and superior reverse through the dial LED lighting, featuring white numbers and markings with amber accents and glowing red pointers for superior visibility.</p>","<style>.wsm-cat-cat-image {display:none;}</style>","778518","https://usdieselparts.com/images/F142927425","Autometer Ultra Lite II Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks - Features race proven Ultra-Lite movements and superior reverse through the dial LED lighting, featuring white numbers and markings with amber accents and glowing red pointers for superior visibility.","Autometer, Ultra, Lite, II, Gauges, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM","Autometer Ultra Lite II Gauges Duramax LMM","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Gauges & Gauge Holders - GM Duramax LMM>Gauges - GM Duramax LMM>Auto Meter - GM Duramax LMM>Ultra-Lite II Series - GM Duramax LMM","2013-05-31 17:37:29",""
"Auto Meter - GM Duramax LMM","Z-Series - GM Duramax LMM","
<img src=""http://usdieselparts.com/files/products/AUT/z_series.png"" alt=""Autometer Z Series Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks"">
<p>Autometer Z Series Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks - High performance movements and understated good looks make this series a perfect choice for low-key instrumentation that still has excellent visibility at any light level.</p>","<style>.wsm-cat-cat-image {display:none;}</style>","778519","https://usdieselparts.com/images/F142927410","Autometer Z Series Gauges for 2007 - 2010 Chevy GMC 6.6L Duramax LMM Diesel Trucks - High performance movements and understated good looks make this series a perfect choice for low-key instrumentation that still has excellent visibility at any light level.","Autometer, Z, Series, Gauges, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM","Autometer Z Series Gauges Duramax LMM","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Gauges & Gauge Holders - GM Duramax LMM>Gauges - GM Duramax LMM>Auto Meter - GM Duramax LMM>Z-Series - GM Duramax LMM","2013-05-31 17:37:29",""
"2007 - 2010 6.6L Duramax LMM","Heads, Head Gaskets & Bolts - GM Duramax LMM","Heads, Head Gaskets & Bolts for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","","778523","https://usdieselparts.com/images/F144549811","Heads, Head Gaskets & Bolts 2007 - 2010 Chevy GMC 6.6L Duramax LMM","Head, heads, Studs, bolt, bolts, ARP, Gaskets, Chevy, GMC, 6.6L, Duramax, LMM, 2007, 2008, 2009, 2010","Heads, Head Gaskets & Bolts Duramax LMM","370","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Heads, Head Gaskets & Bolts - GM Duramax LMM","2013-05-31 17:37:31",""
"Fuel System Components - GM Duramax LMM","Injectors - GM Duramax LMM","<div id=""lpwrapper"">
<center>
<div class=""QuickTitle"" Style=""text-align: center; border-radius: 14px 14px 0 0;"">Common Rail Diesel fuel injectors for 2007 - 2010 Chevy GMC 6.6L Duramax LMM</div>
</center>
  <p align=""left"">We carry stock replacement and high performance injectors for 
    the 2007 - 2010 Chevy GMC Duramax 6.6L LMM engine. Signs of worn injectors 
    may include excessive smoke, rough idle or a light ""miss"", low power and poor 
    fuel economy. LMM owners can extend the life of their injectors by using Stanadyne 
    Performance Formula with every tank of fuel. Clean fuel is very important, 
    so changing your fuel filters at the recommended intervals is critical. Adding 
    an aftermarket fuel filter or a FASS will also extend the life of your injectors. 
    </p>

<center>
<table width=""60%"" border=""0"" cellspacing=""0"" cellpadding=""2"" align=""center"" background=""white"">
<tr>
<td colspan=""5"">
<div style=""text-align: center;"">Identify which Duramax engine you have by the 8th digit
in the VIN #</div>
</td>
</tr>
<tr>
<td width=""20%"" nowrap>
<div style=""text-align: center;""><b> LB7 - 1</b></div>
</td>
<td width=""20%"" nowrap>
<div style=""text-align: center;""><b> LLY - 2</b></div>
</td>
<td width=""20%"" nowrap>
<div style=""text-align: center;""><b> LBZ - D</b></div>
</td>
<td width=""20%"" nowrap>
<div style=""text-align: center;""><b> LMM - 6</b></div>
</td>
<td width=""20%"" nowrap>
<div style=""text-align: center;""><b> LML - 8 </b></div>
</td>
</tr>
</table>
</center>
</div>
","","778524","https://usdieselparts.com/images/F102448230","Diesel fuel injectors and injector nozzles for 2007 - 2010 Chevy GMC Duramax LMM Diesels","Chevy, GMC, 6.6L, Duramax, LMM, Injectors, diesel, fuel, injector, nozzle, nozzles, 2007, 2008, 2009, 2010","Chevy GMC 6.6L Duramax LMM Injectors and Injector Nozzles","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Fuel System Components - GM Duramax LMM>Injectors - GM Duramax LMM","2013-05-31 17:37:31",""
"2007 - 2010 6.6L Duramax LMM","Intake Kits & Air Filters - GM Duramax LMM","<p>The air cleaner assembly is where your engine begins making power. Without good airflow in the equation, your engine simply can’t breathe, resulting in poor performance and fuel economy. While the design of the stock intake is relatively efficient, upgrading to a high flow system can improve overall airflow and performance. For customers in California, or others outside of California, but would like to comply with CARB give us a call to ensure the air intake you are purchasing will pass emissions inspections in the state of California while installed on your vehicle.</p>
<p>We carry a full line of cold air intakes, filters and cleaning kits for a mass variety of vehicles.  Whether you tow a horse trailer or a weekend warrior at the track we can help pick the right system for your rig. We carry complete lines from HSP, Banks, S&B Filters, and more, give us a call and we'll help you decide on the best air intake based on what you do with your truck.</p>
","","778525","https://usdieselparts.com/images/F95100612","Cold Air Intake Kits for 2007 - 2010 Chevy GMC 6.6L Duramax LMM.","Cold, Air, Intake, Kits, AFE, Banks, Bully Dog, K&N, S&B, Chevy, GMC, Duramax, LMM, 2007, 2008, 2009, 2010","Cold Air Intake Duramax LMM","480","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Intake Kits & Air Filters - GM Duramax LMM","2013-05-31 17:37:31",""
"2007 - 2010 6.6L Duramax LMM","Intercoolers - GM Duramax LMM","Intercoolers for 2007 - 2010 Chevy GMC 6.6L Duramax LMM.  Heat is one of the biggest threats to overall powertrain longevity. As a gearhead, battling excessive temperatures is an ongoing trend. However, there are a multitude of various condensers designed to tackle high temperatures. One of the biggest changes to excessive Exhaust Gas Temperatures is to upgrade your factory intercooler. The factory unit is subpar at best, debilitating any efforts of overall heat reduction. To only enhance the shortcomings of the factory cooler, over time it becomes plugged with bugs, dirt, and other debris, severely hampering its overall cooling capability. Aftermarket intercoolers feature larger end tanks for greater air flow, thicker and denser cores, and just overall better construction. All of these same upgrades are also built into most of the upgraded radiators and transmission coolers as well. Also, we carry a wide selection of upgraded intercooler boots in silicone and Nomex and as well as clamps to insure you do not have a problem of a (blown boot) or the failure of the cheap rubber ones. ","","778532","https://usdieselparts.com/images/F102448416","Intercoolers for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","Intercoolers, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM","Intercoolers Chevy GMC Duramax LMM","370","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Intercoolers - GM Duramax LMM","2013-05-31 17:37:33",""
"2007 - 2010 6.6L Duramax LMM","Transmissions - GM Duramax LMM","Transmissions and related accessories for 2007 - 2010 Chevy and GMC 6.6L LMM Duramax Diesel Trucks.  The Allison transmissions used in the Duramax powered GM trucks have proven themselves over the past decade. However, as with ALL transmissions they have their breaking point, no matter how you use it. And for those that looking higher horsepower or have some high miles on them. We carry a variety of stock to fully build transmission from some of the best builders in the industry, as well as torque converters and other key internal components for your transmission. Give a call so we can help you determine the right build for your truck and the best bang for your buck.  ","","778539","https://usdieselparts.com/images/F95100737","Transmissions and related accessories for 2007 - 2010 Chevy and GMC 6.6L LMM Duramax Diesel Trucks","Transmissions, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM","Transmissions Chevy GMC 6.6L Duramax LMM","320","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Transmissions - GM Duramax LMM","2013-05-31 17:37:34",""
"Transmissions - GM Duramax LMM","Transmission Accessories - GM Duramax LMM","Transmission Accessories for 2007 - 2010 6.6L Chevy GMC Duramax LMM","","778541","https://usdieselparts.com/images/F144548145","Transmission Accessories for 2007 - 2010 6.6L Chevy GMC Duramax LMM","Transmission, Accessories, 6.6L, Chevy, GMC, Duramax, LMM, 2007, 2008, 2009, 2010","Transmission Accessories Duramax LMM","500","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Transmissions - GM Duramax LMM>Transmission Accessories - GM Duramax LMM","2013-05-31 17:37:34",""
"Transmissions - GM Duramax LMM","BD Heavy Duty Automatic Transmissions - GM Duramax LMM","BD Heavy Duty Automatic Transmissions for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","","778542","https://usdieselparts.com/images/F144548143","Automatic Transmissions for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","Automatic, Transmissions, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM, BD, Power, products","BD Automatic Transmissions Chevy GMC 6.6L Duramax LMM","501","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Transmissions - GM Duramax LMM>BD Heavy Duty Automatic Transmissions - GM Duramax LMM","2013-05-31 17:37:35",""
"Transmissions - GM Duramax LMM","Torque Converters - GM Duramax LMM","","","778543","https://usdieselparts.com/images/F144548144","Heavy duty Torque Converters for Chevy GMC 6.6L Duramax LMM diesel trucks.","bd, Torque, Converters, Chevy, GMC, 6.6L, Duramax, LMM, 2007, 2008, 2009, 2010","Torque Converters Chevy GMC 6.6L Duramax LMM","501","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Transmissions - GM Duramax LMM>Torque Converters - GM Duramax LMM","2013-05-31 17:37:35",""
"2007 - 2010 6.6L Duramax LMM","Turbochargers - GM Duramax LMM","Turbochargers and Turbo Accessories for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","","778545","https://usdieselparts.com/images/F144577355","Turbochargers and Turbo Accessories for 2007 - 2010 Chevy GMC 6.6L Duramax LMM","Turbochargers, Turbo, Accessories, 2007, 2008, 2009, 2010, Chevy, GMC, 6.6L, Duramax, LMM","Turbochargers Duramax LMM","440","Chevy / GMC>2007 - 2010 6.6L Duramax LMM>Turbochargers - GM Duramax LMM","2013-05-31 17:37:35",""
"Chevy / GMC","2011 - 2016 6.6L Duramax LML","<p>High performance and factory replacement parts for 2011+ Chevy GMC 6.6L Duramax LML, LGH.</p>

<p>The Duramax 6.6L LML Diesel engine puts out an impressive 397 hp and 765 lb.-ft.
of torque right off the showroom floor. This year the engine internals were
strengthened and noise was reduced, fuel economy was improved by 11% and NOx
emissions were reduced by 60% over the previous generation. The LML is also
B20 Biodiesel compatible. The heavy-duty Allison six-speed transmission boasts
a stronger torque converter and a larger diameter output shaft in 2011. The
exhaust brake system uses the variable vane geometry turbo technology to create
back pressure to slow the vehicle down. Duramax LML emissions utilizes an Exhaust
Gas Recirculation (EGR) with EGR cooler. The exhaust features the familiar Diesel
Particulate Filter (DPF) and active regeneration approximately every 700 miles
(300 fewer miles than last year). New to the LML emissions is a Selective Catalyst
Reduction (SCR) which utilizes Diesel Exhaust Fluid injection (DEF). This means
that LML owners will have to also keep their DEF tanks filled with a liquid
solution called &quot;urea&quot;. Fortunately, LML owners can look forward to
our &quot;High Performance&quot; product line that can help squeeze out some
extra horsepower and fuel economy, as well as our &quot;Race Products&quot;
capable of bypassing the restrictive emissions equipment for huge power and
economy gains.</p>","<p align=""left""><b>Chevy GMC 6.6L Duramax LML / LGH Specifications:</b><br>
• LML 8th digit VIN: 8<br>
• LGH 8th digit VIN: L<br>
• LML Power / Torque: 397 hp @ 3000 rpm / 765 lb·ft @1600 rpm <br>
• LGH Power / Torque: 335 hp @ 3100 rpm / 685 lb·ft @1600 rpm <br>
• Aspiration: Turbocharged & Intercooled. Variable geometry turbocharger.<br>
• Injection: Bosch High Pressure Common Rail with Bosch CP3 Injection Pump<br>
• Diesel Particulate Filter (DPF)<br>
• Exhaust Gas Recirculation (EGR)<br>
• Diesel Oxidation Catalyst (DOC)<br>
• Allison 1000 6-speed automatic transmission.","778547","https://usdieselparts.com/images/F76369876","Diesel performance and parts such as turbos, injectors, fuel pumps, exhaust, intake and tuners for 2011 2012 2013 2014 2015 2016 Chevy GMC 6.6L Duramax LML LGH diesel pickups.","2011, 2012, 2013, 2014, 2015, 2016, Chevy, GMC, Duramax, LML, LGH, 6.6L, performance, mileage, economy, common, rail, injectors, diesel, fuel, system, turbocharger, cp3, pump, exhaust, intake, chip, tuner, programmer","Chevy GMC Duramax Diesel LML LGH Parts and Accessories ","460","Chevy / GMC>2011 - 2016 6.6L Duramax LML","2013-05-31 17:37:36",""
"2011 - 2016 6.6L Duramax LML","Electronic Performance - GM Duramax LML","<div class=""QuickTitle"">Electronic Performance parts for 2011+ Chevy GMC Duramax LML LGH Diesel Trucks</div>
<p>Electronic Performance Chips, Programmers, Tuners, and Gauge Display Monitors for 2011+ Chevy 6.6L Duramax Diesel - available from top quality brand names such as Edge Products, Bully Dog, SCT and Superchips.  Get the most out of your electronically controlled diesel engine for work or play.</p>","<style>.wsm-cat-cat-image {display:none;}</style>","778548","https://usdieselparts.com/images/F142538411","Chips and Tuners for 2011+ Chevy GMC Duramax LML LGH","Chips and Tuners for 2011+ Chevy GMC Duramax LML LGH","Chips Tuners Chevy GMC Duramax LML LGH","501","Chevy / GMC>2011 - 2016 6.6L Duramax LML>Electronic Performance - GM Duramax LML","2013-05-31 17:37:36",""
"Electronic Performance - GM Duramax LML","Superchips - GM Duramax LML LGH","Superchips Tuners for 2011+ Chevy GMC 6.6L Duramax LML LGH Diesel.  Founded in 1983, Superchips was one of the first companies to specialize in tuning vehicles with computer controlled fuel-injection systems.  While the company may have started in England, their headquarters is now located in Sanford, Florida and proudly manufactures every single product in the U.S.A.  For us, their most popular hand-held tuner has been the Flashpaq.  Available for Chevy, Dodge, GMC and Ford; the Flashpaq gives some impressive power gains.  It also gives an exclusive 2 year limited powertrain warranty!","Superchips of Sanford, Florida is the industry leader in automotive tuning for late model cars, Jeeps and trucks. Founded in England in 1983, Superchips was one of the first companies to specialize in tuning vehicles with computer controlled fuel-injection systems. While Superchips originally focused on serving the British racing community with high-end solutions, the Company eventually began to provide power to performance enthusiasts throughout the world. Now, Superchips sells tens of thousands of hand-held programmers per year from its headquarters in Ogden, Utah.  In 2005, Superchips was acquired by MSD Performance. In 2011 Superchips became part of Powerteq LLC, which today owns and manages the Edge Products and Diablosport brands – two of the most popular performance tuning brands in North America.  In 2015, Powerteq LLC, along with the other MSD Performance Group brands, was acquired by the Holley Performance Group.  The deep line of Holley brands marries tremendous technology with cutting-edge resources and industry roots. The combination of talented personnel at Powerteq and the resources of Holley Performance Group ensure that exciting aftermarket products will launch from Superchips for many years to come.","778550","https://usdieselparts.com/images/F101139396","Superchips Tuners for 2011+ Chevy GMC 6.6L Duramax LML LGH Diesel Trucks.","Superchips, Tuners, programmer, hand, held, handheld, diesel, truck, performance, towing, hp, torque, Chevy, Chevrolet, GM, GMC, 6.6, 6.6L, Duramax, 2011, 2012, 2013, 2014, 2015, LML, LGH","Superchips Duramax LML LGH","500","Chevy / GMC>2011 - 2016 6.6L Duramax LML>Electronic Performance - GM Duramax LML>Superchips - GM Duramax LML LGH","2013-05-31 17:37:36","1"
"2011 - 2016 6.6L Duramax LML","Engine Components - GM Duramax LML","<p>Engine components and parts for your 6.6L LML Duramax Diesel. If you can't find a part just give us a call. Our parts specialists are here to get you back and running, fast.</p>","<center><img src=""../files/design/duramax_head_gasket_id.jpg"" width=""544"" border=""0"" height=""454""></center>
<center><p style=""color: gray;"">Typical identification for Duramax Head Gaskets.</p></center>","778551","https://usdieselparts.com/images/F144565872","Engine Components for 2011+ Chevy GMC 6.6L Duramax LML LGH","Engine, Components, 2011, 2012, 2013, 2014, Chevy, GMC, 6.6L, Duramax, LML, LGH","Engine Components Duramax LML LGH","470","Chevy / GMC>2011 - 2016 6.6L Duramax LML>Engine Components - GM Duramax LML","2013-05-31 17:37:36",""
"2011 - 2016 6.6L Duramax LML","Exhaust Systems - GM Duramax LML","

<p align=""left"">We specialize in complete Diesel Performance exhaust systems and exhaust components for your Duramax Truck.
Performance Exhaust Systems increase horsepower and torque, improve fuel economy,
lower EGT's (exhaust gas temperatures). Most systems are available in single
or dual configurations, and are available in aluminized or stainless steel versions
and are easily installed with basic hand tools. If you have any questions or
if you don't see the system you were looking for, then please give us a call
at (800) 823-4444.</p>","<style>.wsm-cat-cat-image {display:none;}</style>","778552","https://usdieselparts.com/images/F94965741","Performance Diesel Exhaust Systems for 2011+ Chevy GMC 6.6L Duramax LML LGH","Exhaust, Systems, 2011, 2012, 2013, 2014, Chevy, GMC, 6.6L, Duramax, LML, LGH","Performance Diesel Exhaust Systems for 2011+ Chevy GMC 6.6L Duramax LML LGH.","499","Chevy / GMC>2011 - 2016 6.6L Duramax LML>Exhaust Systems - GM Duramax LML","2013-05-31 17:37:36",""
"Exhaust Systems - GM Duramax LML","MBRP - GM Duramax LML LGH","
<center><img src=""/files/products/MBR/mbrp-header.jpg"" width=""860"" height=""100"" alt=""MBRP Performance Exhausts"" border=""0""></center>
<br />
<center>MBRP Performance Exhaust systems for Chevy & GMC Duramax LML LGH 6.6L Diesel Trucks.<center>","<style>.wsm-cat-cat-image, .wsm-brand-brand-image {display:none;}</style>","778558","https://usdieselparts.com/images/F105480026","MBRP Exhaust Kits for 2011+ Chevy GMC 6.6L Duramax LML LGH","MBRP, Exhaust, Kits, 2011, 2012, 2013, 2014, 2015, Chevy, GMC, 6.6L, Duramax, LML, LGH","MBRP Exhaust Duramax LML LGH","503","Chevy / GMC>2011 - 2016 6.6L Duramax LML>Exhaust Systems - GM Duramax LML>MBRP - GM Duramax LML LGH","2013-05-31 17:37:38",""
"Fuel System Components - GM Duramax LML","FASS® Fuel Air Separation Systems - GM Duramax LML LGH","<p align=""left"">Air/vapor in diesel fuel is a common problem with any diesel vehicle where the fuel tank is located at a lower point than the engine. The movement of the fuel inside the tank, and the process of fuel transfer under these conditions creates as much as 10% air/vapor within the fuel. Symptoms of air/vapor can be low horsepower, poor fuel mileage, excessive smoke, injector failure, hard starting, surging and rough running. You can eliminate this problem with a FASS Fuel Air Separation System and get &quot;test cell&quot; performance under real world conditions.</p>
<center>
<table cellpadding=""5"" border=""0"" width=""550"">
<tr>
     <td>
<div align=""left"">&bull; Increase Horsepower<br />
&bull; Better Fuel Mileage<br />
&bull; Less Smoke<br />
&bull; Protects Injection System<br />
&bull; Easier Starting<br />
&bull; Engine Runs Smoother<br />
&bull; Better Throttle Response</div>
     </td>
     <td>
<img alt=""FASS eliminates air/vapor in your fuel. "" width=""200"" height=""163"" align=""right"" src=""/files/images/fuel_comparison.jpg"" />
     </td>
     <td width=""100"">&nbsp;</td>
</tr>
</table>
</center>
<br><br>","","778559","https://usdieselparts.com/images/F119352271","FASS Fuel Air Separation Systems for 2011+ Chevy GMC LML LGH","fass, chevy, gmc, lml, diesel, LGH, 2011, 2012, 2013, 2014","FASS 2011+ Chevy GMC LML LGH ","460","Chevy / GMC>2011 - 2016 6.6L Duramax LML>Fuel System Components - GM Duramax LML>FASS® Fuel Air Separation Systems - GM Duramax LML LGH","2013-05-31 17:37:38",""
"2011 - 2016 6.6L Duramax LML","Intake Kits - Air Filters - GM Duramax LML","<p>The air cleaner assembly is where your engine begins making power. Without good airflow in the equation, your engine simply can’t breathe, resulting in poor performance and fuel economy. While the design of the stock intake is relatively efficient, upgrading to a high flow system can improve overall airflow and performance. For customers in California, or others outside of California, but would like to comply with CARB give us a call to ensure the air intake you are purchasing will pass emissions inspections in the state of California while installed on your vehicle.</p>
<p>We carry a full line of cold air intakes, filters and cleaning kits for a mass variety of vehicles.  Whether you tow a horse trailer or a weekend warrior at the track we can help pick the right system for your rig. We carry complete lines from HSP, Banks, S&B Filters, and more, give us a call and we'll help you decide on the best air intake based on what you do with your truck.</p>
","","778560","https://usdieselparts.com/images/F94965743","Cold air intakes for 2011+ Chevy GMC 6.6L Duramax LML from top name brands such as K&N and S&B.","Cold, air, intakes, intake, 2011, 2012, 2013, 2014, Chevy, GMC, 6.6L, Duramax, LML, Airaid, S&B, K&N","Intake Kits Chevy GMC Duramax LML 2011-2016","480","Chevy / GMC>2011 - 2016 6.6L Duramax LML>Intake Kits - Air Filters - GM Duramax LML","2013-05-31 17:37:38",""
